"date_month","avg_seasonality","avg_total_spend","avg_revenue","avg_roi"
"2023-01-01 00:00:00+01",1.08,11102.08,58187.83,5.24
"2023-02-01 00:00:00+01",1.21,12142.32,64669.34,5.33
"2023-03-01 00:00:00+01",1.29,12779.45,70216.00,5.49
"2023-04-01 00:00:00+02",1.29,12798.17,70575.71,5.51
"2023-05-01 00:00:00+02",1.21,12362.98,66182.59,5.35
"2023-06-01 00:00:00+02",1.08,11541.10,57716.51,5.00
"2023-07-01 00:00:00+02",0.93,10491.18,51488.29,4.91
"2023-08-01 00:00:00+02",0.79,9682.86,44049.37,4.55
"2023-09-01 00:00:00+02",0.71,9238.84,40268.16,4.36
"2023-10-01 00:00:00+02",0.71,9253.51,39588.23,4.28
"2023-11-01 00:00:00+01",0.79,9958.38,44362.70,4.45
"2023-12-01 00:00:00+01",0.92,10940.04,51361.22,4.69
"2024-01-01 00:00:00+01",1.08,12103.98,58617.00,4.84
"2024-02-01 00:00:00+01",1.21,13068.54,65421.36,5.01
"2024-03-01 00:00:00+01",1.29,13642.06,70057.29,5.14
"2024-04-01 00:00:00+02",1.29,13764.65,68326.76,4.96
"2024-05-01 00:00:00+02",1.21,13478.02,64992.49,4.82
"2024-06-01 00:00:00+02",1.08,12657.25,57282.99,4.53
"2024-07-01 00:00:00+02",0.92,11592.56,49663.01,4.28
"2024-08-01 00:00:00+02",0.79,10706.97,44526.38,4.16
"2024-09-01 00:00:00+02",0.71,10265.47,39589.97,3.86
"2024-10-01 00:00:00+02",0.71,10264.70,39863.12,3.88
"2024-11-01 00:00:00+01",0.79,11026.80,44383.04,4.03
"2024-12-01 00:00:00+01",0.92,12057.24,53040.81,4.40
